,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
690470,AU,Australia,Victoria,City of Melbourne,,,,ChIJv_FYgkNd1moRpxLuRXZURFs,2022-09-09,-36.0,-17.0,-34.0,-40.0,-17.0,10.0
690471,AU,Australia,Victoria,City of Melbourne,,,,ChIJv_FYgkNd1moRpxLuRXZURFs,2022-09-10,-7.0,2.0,-20.0,-6.0,10.0,2.0
690472,AU,Australia,Victoria,City of Melbourne,,,,ChIJv_FYgkNd1moRpxLuRXZURFs,2022-09-11,-21.0,-5.0,-51.0,-28.0,3.0,2.0
690473,AU,Australia,Victoria,City of Melbourne,,,,ChIJv_FYgkNd1moRpxLuRXZURFs,2022-09-12,-41.0,-23.0,-60.0,-48.0,-22.0,12.0
690474,AU,Australia,Victoria,City of Melbourne,,,,ChIJv_FYgkNd1moRpxLuRXZURFs,2022-09-13,-35.0,-21.0,-58.0,-44.0,-18.0,11.0
691410,AU,Australia,Victoria,City of Monash,,,,ChIJAW1BE1cV1moRwkykqCIpKcg,2022-09-07,-2.0,11.0,23.0,-37.0,-22.0,6.0
691411,AU,Australia,Victoria,City of Monash,,,,ChIJAW1BE1cV1moRwkykqCIpKcg,2022-09-08,-9.0,9.0,-16.0,-39.0,-20.0,7.0
691412,AU,Australia,Victoria,City of Monash,,,,ChIJAW1BE1cV1moRwkykqCIpKcg,2022-09-09,-1.0,15.0,34.0,-32.0,-19.0,5.0
691413,AU,Australia,Victoria,City of Monash,,,,ChIJAW1BE1cV1moRwkykqCIpKcg,2022-09-10,13.0,26.0,-13.0,-26.0,-14.0,3.0
691414,AU,Australia,Victoria,City of Monash,,,,ChIJAW1BE1cV1moRwkykqCIpKcg,2022-09-11,8.0,18.0,-12.0,-38.0,-19.0,3.0
691415,AU,Australia,Victoria,City of Monash,,,,ChIJAW1BE1cV1moRwkykqCIpKcg,2022-09-12,-7.0,12.0,9.0,-43.0,-22.0,7.0
691416,AU,Australia,Victoria,City of Monash,,,,ChIJAW1BE1cV1moRwkykqCIpKcg,2022-09-13,-6.0,15.0,-14.0,-39.0,-21.0,6.0
692352,AU,Australia,Victoria,City of Moonee Valley,,,,ChIJNRWDGxVc1moR5Ez5kWZTlz4,2022-09-07,-7.0,19.0,-17.0,-36.0,-22.0,7.0
692353,AU,Australia,Victoria,City of Moonee Valley,,,,ChIJNRWDGxVc1moR5Ez5kWZTlz4,2022-09-08,-9.0,10.0,-34.0,-42.0,-19.0,8.0
692354,AU,Australia,Victoria,City of Moonee Valley,,,,ChIJNRWDGxVc1moR5Ez5kWZTlz4,2022-09-09,2.0,21.0,-4.0,-36.0,-21.0,6.0
692355,AU,Australia,Victoria,City of Moonee Valley,,,,ChIJNRWDGxVc1moR5Ez5kWZTlz4,2022-09-10,1.0,16.0,-23.0,-23.0,-17.0,3.0
692356,AU,Australia,Victoria,City of Moonee Valley,,,,ChIJNRWDGxVc1moR5Ez5kWZTlz4,2022-09-11,1.0,13.0,-26.0,-37.0,-20.0,3.0
692357,AU,Australia,Victoria,City of Moonee Valley,,,,ChIJNRWDGxVc1moR5Ez5kWZTlz4,2022-09-12,-10.0,17.0,-42.0,-38.0,-22.0,8.0
692358,AU,Australia,Victoria,City of Moonee Valley,,,,ChIJNRWDGxVc1moR5Ez5kWZTlz4,2022-09-13,-10.0,10.0,-36.0,-37.0,-23.0,8.0
693294,AU,Australia,Victoria,City of Moreland,,,,ChIJR09Ut2lb1moRB2WJOHvYMRg,2022-09-07,-13.0,-5.0,-23.0,-40.0,-27.0,8.0
693295,AU,Australia,Victoria,City of Moreland,,,,ChIJR09Ut2lb1moRB2WJOHvYMRg,2022-09-08,-18.0,-4.0,-42.0,-44.0,-25.0,9.0
693296,AU,Australia,Victoria,City of Moreland,,,,ChIJR09Ut2lb1moRB2WJOHvYMRg,2022-09-09,-4.0,1.0,-21.0,-38.0,-27.0,7.0
693297,AU,Australia,Victoria,City of Moreland,,,,ChIJR09Ut2lb1moRB2WJOHvYMRg,2022-09-10,-12.0,-5.0,-38.0,-35.0,-13.0,4.0
693298,AU,Australia,Victoria,City of Moreland,,,,ChIJR09Ut2lb1moRB2WJOHvYMRg,2022-09-11,-7.0,-5.0,-19.0,-46.0,-14.0,3.0
693299,AU,Australia,Victoria,City of Moreland,,,,ChIJR09Ut2lb1moRB2WJOHvYMRg,2022-09-12,-15.0,-3.0,-35.0,-44.0,-27.0,9.0
693300,AU,Australia,Victoria,City of Moreland,,,,ChIJR09Ut2lb1moRB2WJOHvYMRg,2022-09-13,-13.0,-3.0,-42.0,-43.0,-27.0,8.0
694236,AU,Australia,Victoria,City of Stonnington,,,,ChIJcbovqORp1moR9Z15BNtVA5A,2022-09-07,-21.0,-1.0,-40.0,-42.0,-39.0,11.0
694237,AU,Australia,Victoria,City of Stonnington,,,,ChIJcbovqORp1moR9Z15BNtVA5A,2022-09-08,-24.0,-1.0,-49.0,-45.0,-39.0,11.0
694238,AU,Australia,Victoria,City of Stonnington,,,,ChIJcbovqORp1moR9Z15BNtVA5A,2022-09-09,-19.0,2.0,-27.0,-42.0,-43.0,11.0
694239,AU,Australia,Victoria,City of Stonnington,,,,ChIJcbovqORp1moR9Z15BNtVA5A,2022-09-10,-13.0,6.0,-22.0,-21.0,-13.0,4.0
694240,AU,Australia,Victoria,City of Stonnington,,,,ChIJcbovqORp1moR9Z15BNtVA5A,2022-09-11,-16.0,-1.0,-26.0,-43.0,-16.0,4.0
694241,AU,Australia,Victoria,City of Stonnington,,,,ChIJcbovqORp1moR9Z15BNtVA5A,2022-09-12,-26.0,-3.0,-43.0,-47.0,-43.0,11.0
694242,AU,Australia,Victoria,City of Stonnington,,,,ChIJcbovqORp1moR9Z15BNtVA5A,2022-09-13,-26.0,-5.0,-47.0,-46.0,-40.0,12.0
695153,AU,Australia,Victoria,City of Warrnambool,,,,ChIJW88Th_JNzWoRbjlfkhG6P5g,2022-09-07,-12.0,-14.0,-48.0,,-3.0,2.0
695154,AU,Australia,Victoria,City of Warrnambool,,,,ChIJW88Th_JNzWoRbjlfkhG6P5g,2022-09-08,-18.0,-2.0,-68.0,,-2.0,3.0
695155,AU,Australia,Victoria,City of Warrnambool,,,,ChIJW88Th_JNzWoRbjlfkhG6P5g,2022-09-09,-20.0,-11.0,-69.0,,0.0,3.0
695156,AU,Australia,Victoria,City of Warrnambool,,,,ChIJW88Th_JNzWoRbjlfkhG6P5g,2022-09-10,-16.0,-5.0,-67.0,,-22.0,
695157,AU,Australia,Victoria,City of Warrnambool,,,,ChIJW88Th_JNzWoRbjlfkhG6P5g,2022-09-11,-21.0,-13.0,-72.0,,-24.0,
695158,AU,Australia,Victoria,City of Warrnambool,,,,ChIJW88Th_JNzWoRbjlfkhG6P5g,2022-09-12,-20.0,-5.0,-73.0,,2.0,3.0
695159,AU,Australia,Victoria,City of Warrnambool,,,,ChIJW88Th_JNzWoRbjlfkhG6P5g,2022-09-13,-13.0,-8.0,-60.0,,1.0,2.0
696095,AU,Australia,Victoria,City of Whittlesea,,,,ChIJyZ4oiR2112oRXKMqMMUed6s,2022-09-07,-1.0,9.0,-5.0,-19.0,-8.0,4.0
696096,AU,Australia,Victoria,City of Whittlesea,,,,ChIJyZ4oiR2112oRXKMqMMUed6s,2022-09-08,-9.0,1.0,-12.0,-27.0,-8.0,6.0
696097,AU,Australia,Victoria,City of Whittlesea,,,,ChIJyZ4oiR2112oRXKMqMMUed6s,2022-09-09,2.0,5.0,14.0,-22.0,-3.0,3.0
696098,AU,Australia,Victoria,City of Whittlesea,,,,ChIJyZ4oiR2112oRXKMqMMUed6s,2022-09-10,3.0,6.0,-9.0,-6.0,-7.0,3.0
696099,AU,Australia,Victoria,City of Whittlesea,,,,ChIJyZ4oiR2112oRXKMqMMUed6s,2022-09-11,5.0,3.0,-16.0,-24.0,-7.0,3.0
696100,AU,Australia,Victoria,City of Whittlesea,,,,ChIJyZ4oiR2112oRXKMqMMUed6s,2022-09-12,-2.0,6.0,-12.0,-26.0,-4.0,5.0
696101,AU,Australia,Victoria,City of Whittlesea,,,,ChIJyZ4oiR2112oRXKMqMMUed6s,2022-09-13,-4.0,2.0,-21.0,-25.0,-7.0,4.0
697031,AU,Australia,Victoria,City of Wodonga,,,,ChIJifxkuVpYIWsR1JpuHrgQ37M,2022-09-07,9.0,23.0,,,6.0,1.0
697032,AU,Australia,Victoria,City of Wodonga,,,,ChIJifxkuVpYIWsR1JpuHrgQ37M,2022-09-08,8.0,19.0,,,2.0,3.0
697033,AU,Australia,Victoria,City of Wodonga,,,,ChIJifxkuVpYIWsR1JpuHrgQ37M,2022-09-09,13.0,29.0,,,9.0,2.0
697034,AU,Australia,Victoria,City of Wodonga,,,,ChIJifxkuVpYIWsR1JpuHrgQ37M,2022-09-10,13.0,25.0,-13.0,,-4.0,
697035,AU,Australia,Victoria,City of Wodonga,,,,ChIJifxkuVpYIWsR1JpuHrgQ37M,2022-09-11,19.0,29.0,,,-11.0,
697036,AU,Australia,Victoria,City of Wodonga,,,,ChIJifxkuVpYIWsR1JpuHrgQ37M,2022-09-12,18.0,24.0,,,14.0,1.0
697037,AU,Australia,Victoria,City of Wodonga,,,,ChIJifxkuVpYIWsR1JpuHrgQ37M,2022-09-13,15.0,25.0,,,9.0,1.0
697973,AU,Australia,Victoria,City of Wyndham,,,,ChIJm4jB3BaF1moRItR1TFPrXzc,2022-09-07,10.0,30.0,6.0,-36.0,-11.0,6.0
697974,AU,Australia,Victoria,City of Wyndham,,,,ChIJm4jB3BaF1moRItR1TFPrXzc,2022-09-08,3.0,26.0,-28.0,-41.0,-11.0,8.0
697975,AU,Australia,Victoria,City of Wyndham,,,,ChIJm4jB3BaF1moRItR1TFPrXzc,2022-09-09,11.0,44.0,7.0,-39.0,-12.0,5.0
697976,AU,Australia,Victoria,City of Wyndham,,,,ChIJm4jB3BaF1moRItR1TFPrXzc,2022-09-10,11.0,30.0,-13.0,-22.0,7.0,2.0
697977,AU,Australia,Victoria,City of Wyndham,,,,ChIJm4jB3BaF1moRItR1TFPrXzc,2022-09-11,7.0,28.0,-25.0,-22.0,-1.0,2.0
697978,AU,Australia,Victoria,City of Wyndham,,,,ChIJm4jB3BaF1moRItR1TFPrXzc,2022-09-12,7.0,34.0,-15.0,-43.0,-10.0,7.0
697979,AU,Australia,Victoria,City of Wyndham,,,,ChIJm4jB3BaF1moRItR1TFPrXzc,2022-09-13,5.0,30.0,-8.0,-39.0,-10.0,6.0
698915,AU,Australia,Victoria,City of Yarra,,,,ChIJtc7U9gBD1moRf2HGrPdUtvE,2022-09-07,-21.0,-13.0,-29.0,-40.0,-44.0,11.0
698916,AU,Australia,Victoria,City of Yarra,,,,ChIJtc7U9gBD1moRf2HGrPdUtvE,2022-09-08,-25.0,-17.0,-47.0,-40.0,-39.0,11.0
698917,AU,Australia,Victoria,City of Yarra,,,,ChIJtc7U9gBD1moRf2HGrPdUtvE,2022-09-09,-13.0,-13.0,-23.0,-20.0,-42.0,10.0
698918,AU,Australia,Victoria,City of Yarra,,,,ChIJtc7U9gBD1moRf2HGrPdUtvE,2022-09-10,-7.0,-12.0,-41.0,30.0,-32.0,4.0
698919,AU,Australia,Victoria,City of Yarra,,,,ChIJtc7U9gBD1moRf2HGrPdUtvE,2022-09-11,-19.0,-17.0,-47.0,-31.0,-29.0,3.0
698920,AU,Australia,Victoria,City of Yarra,,,,ChIJtc7U9gBD1moRf2HGrPdUtvE,2022-09-12,-26.0,-14.0,-38.0,-41.0,-43.0,12.0
698921,AU,Australia,Victoria,City of Yarra,,,,ChIJtc7U9gBD1moRf2HGrPdUtvE,2022-09-13,-24.0,-17.0,-39.0,-41.0,-40.0,11.0
699832,AU,Australia,Victoria,Colac Otway Shire,,,,ChIJ3XieguUQ02oRirc0WeapOr0,2022-09-07,-10.0,,-45.0,,3.0,
699833,AU,Australia,Victoria,Colac Otway Shire,,,,ChIJ3XieguUQ02oRirc0WeapOr0,2022-09-08,-22.0,,-65.0,,5.0,
699834,AU,Australia,Victoria,Colac Otway Shire,,,,ChIJ3XieguUQ02oRirc0WeapOr0,2022-09-09,-22.0,,-61.0,,4.0,
699835,AU,Australia,Victoria,Colac Otway Shire,,,,ChIJ3XieguUQ02oRirc0WeapOr0,2022-09-10,-21.0,,-60.0,,-27.0,
699836,AU,Australia,Victoria,Colac Otway Shire,,,,ChIJ3XieguUQ02oRirc0WeapOr0,2022-09-11,-4.0,,-58.0,,-21.0,
699837,AU,Australia,Victoria,Colac Otway Shire,,,,ChIJ3XieguUQ02oRirc0WeapOr0,2022-09-12,-35.0,,-72.0,,9.0,
699838,AU,Australia,Victoria,Colac Otway Shire,,,,ChIJ3XieguUQ02oRirc0WeapOr0,2022-09-13,-22.0,,-64.0,,12.0,
700697,AU,Australia,Victoria,Corangamite Shire,,,,ChIJ1S4caGb60moRCKaNAI3i35w,2022-09-07,,,-64.0,,9.0,
700698,AU,Australia,Victoria,Corangamite Shire,,,,ChIJ1S4caGb60moRCKaNAI3i35w,2022-09-08,,,-71.0,,6.0,
700699,AU,Australia,Victoria,Corangamite Shire,,,,ChIJ1S4caGb60moRCKaNAI3i35w,2022-09-09,,,-69.0,,20.0,
700700,AU,Australia,Victoria,Corangamite Shire,,,,ChIJ1S4caGb60moRCKaNAI3i35w,2022-09-10,,,-75.0,,,
700701,AU,Australia,Victoria,Corangamite Shire,,,,ChIJ1S4caGb60moRCKaNAI3i35w,2022-09-11,,,-72.0,,,
700702,AU,Australia,Victoria,Corangamite Shire,,,,ChIJ1S4caGb60moRCKaNAI3i35w,2022-09-12,,,-77.0,,15.0,
700703,AU,Australia,Victoria,Corangamite Shire,,,,ChIJ1S4caGb60moRCKaNAI3i35w,2022-09-13,,,-70.0,,23.0,
701614,AU,Australia,Victoria,East Gippsland Shire,,,,ChIJw1MxsqAlO2sRIbk-PJ47vfQ,2022-09-07,-7.0,4.0,-26.0,,15.0,3.0
701615,AU,Australia,Victoria,East Gippsland Shire,,,,ChIJw1MxsqAlO2sRIbk-PJ47vfQ,2022-09-08,-1.0,9.0,-17.0,,20.0,2.0
701616,AU,Australia,Victoria,East Gippsland Shire,,,,ChIJw1MxsqAlO2sRIbk-PJ47vfQ,2022-09-09,12.0,12.0,-25.0,,21.0,3.0
701617,AU,Australia,Victoria,East Gippsland Shire,,,,ChIJw1MxsqAlO2sRIbk-PJ47vfQ,2022-09-10,3.0,4.0,-24.0,,-5.0,
701618,AU,Australia,Victoria,East Gippsland Shire,,,,ChIJw1MxsqAlO2sRIbk-PJ47vfQ,2022-09-11,4.0,5.0,-14.0,,-17.0,
701619,AU,Australia,Victoria,East Gippsland Shire,,,,ChIJw1MxsqAlO2sRIbk-PJ47vfQ,2022-09-12,-6.0,9.0,-12.0,,24.0,3.0
701620,AU,Australia,Victoria,East Gippsland Shire,,,,ChIJw1MxsqAlO2sRIbk-PJ47vfQ,2022-09-13,-6.0,2.0,-24.0,,12.0,3.0
702531,AU,Australia,Victoria,Glenelg Shire,,,,ChIJ99BLcUWvzGoRc56q4yq63sk,2022-09-07,,,-33.0,,19.0,
702532,AU,Australia,Victoria,Glenelg Shire,,,,ChIJ99BLcUWvzGoRc56q4yq63sk,2022-09-08,,,-51.0,,22.0,
702533,AU,Australia,Victoria,Glenelg Shire,,,,ChIJ99BLcUWvzGoRc56q4yq63sk,2022-09-09,7.0,,-55.0,,21.0,
702534,AU,Australia,Victoria,Glenelg Shire,,,,ChIJ99BLcUWvzGoRc56q4yq63sk,2022-09-10,,,-54.0,,-1.0,
702535,AU,Australia,Victoria,Glenelg Shire,,,,ChIJ99BLcUWvzGoRc56q4yq63sk,2022-09-11,,,-56.0,,,
702536,AU,Australia,Victoria,Glenelg Shire,,,,ChIJ99BLcUWvzGoRc56q4yq63sk,2022-09-12,,,-51.0,,22.0,
702537,AU,Australia,Victoria,Glenelg Shire,,,,ChIJ99BLcUWvzGoRc56q4yq63sk,2022-09-13,,,-50.0,,16.0,
703300,AU,Australia,Victoria,Golden Plains Shire,,,,ChIJexYS4lbk02oR860sKae_qD4,2022-09-07,,,,,15.0,
703301,AU,Australia,Victoria,Golden Plains Shire,,,,ChIJexYS4lbk02oR860sKae_qD4,2022-09-08,,,,,22.0,
703302,AU,Australia,Victoria,Golden Plains Shire,,,,ChIJexYS4lbk02oR860sKae_qD4,2022-09-09,,,,,25.0,
703303,AU,Australia,Victoria,Golden Plains Shire,,,,ChIJexYS4lbk02oR860sKae_qD4,2022-09-10,,,,,4.0,
703304,AU,Australia,Victoria,Golden Plains Shire,,,,ChIJexYS4lbk02oR860sKae_qD4,2022-09-12,,,,,17.0,
703305,AU,Australia,Victoria,Golden Plains Shire,,,,ChIJexYS4lbk02oR860sKae_qD4,2022-09-13,,,,,15.0,
704239,AU,Australia,Victoria,Greater Bendigo City,,,,ChIJIc5Hq9Df2WoRd6oSWAN4CN0,2022-09-07,6.0,1.0,-14.0,-8.0,4.0,2.0
704240,AU,Australia,Victoria,Greater Bendigo City,,,,ChIJIc5Hq9Df2WoRd6oSWAN4CN0,2022-09-08,-3.0,-3.0,-47.0,-18.0,4.0,4.0
704241,AU,Australia,Victoria,Greater Bendigo City,,,,ChIJIc5Hq9Df2WoRd6oSWAN4CN0,2022-09-09,11.0,8.0,-15.0,-13.0,2.0,1.0
704242,AU,Australia,Victoria,Greater Bendigo City,,,,ChIJIc5Hq9Df2WoRd6oSWAN4CN0,2022-09-10,10.0,-1.0,-17.0,-11.0,-4.0,4.0
704243,AU,Australia,Victoria,Greater Bendigo City,,,,ChIJIc5Hq9Df2WoRd6oSWAN4CN0,2022-09-11,11.0,0.0,0.0,-45.0,-13.0,3.0
704244,AU,Australia,Victoria,Greater Bendigo City,,,,ChIJIc5Hq9Df2WoRd6oSWAN4CN0,2022-09-12,6.0,3.0,-17.0,-8.0,7.0,2.0
704245,AU,Australia,Victoria,Greater Bendigo City,,,,ChIJIc5Hq9Df2WoRd6oSWAN4CN0,2022-09-13,3.0,3.0,-14.0,-12.0,1.0,2.0
705181,AU,Australia,Victoria,Greater Geelong City,,,,ChIJtRCT1EAi1GoRZT1X3HI-ioo,2022-09-07,-9.0,-1.0,-17.0,-26.0,-13.0,3.0
705182,AU,Australia,Victoria,Greater Geelong City,,,,ChIJtRCT1EAi1GoRZT1X3HI-ioo,2022-09-08,-15.0,-1.0,-50.0,-30.0,-10.0,5.0
705183,AU,Australia,Victoria,Greater Geelong City,,,,ChIJtRCT1EAi1GoRZT1X3HI-ioo,2022-09-09,-13.0,1.0,-33.0,-27.0,-11.0,2.0
705184,AU,Australia,Victoria,Greater Geelong City,,,,ChIJtRCT1EAi1GoRZT1X3HI-ioo,2022-09-10,-10.0,1.0,-60.0,-27.0,-20.0,4.0
705185,AU,Australia,Victoria,Greater Geelong City,,,,ChIJtRCT1EAi1GoRZT1X3HI-ioo,2022-09-11,-11.0,-1.0,-43.0,-27.0,-17.0,3.0
705186,AU,Australia,Victoria,Greater Geelong City,,,,ChIJtRCT1EAi1GoRZT1X3HI-ioo,2022-09-12,-15.0,2.0,-30.0,-27.0,-8.0,4.0
705187,AU,Australia,Victoria,Greater Geelong City,,,,ChIJtRCT1EAi1GoRZT1X3HI-ioo,2022-09-13,-11.0,4.0,-40.0,-28.0,-10.0,4.0
706117,AU,Australia,Victoria,Greater Shepparton City,,,,ChIJF_mwlyWB2GoRMLprYYliSHU,2022-09-07,-6.0,5.0,-27.0,,12.0,1.0
706118,AU,Australia,Victoria,Greater Shepparton City,,,,ChIJF_mwlyWB2GoRMLprYYliSHU,2022-09-08,-5.0,4.0,-51.0,,11.0,4.0
706119,AU,Australia,Victoria,Greater Shepparton City,,,,ChIJF_mwlyWB2GoRMLprYYliSHU,2022-09-09,5.0,16.0,-27.0,,18.0,1.0
706120,AU,Australia,Victoria,Greater Shepparton City,,,,ChIJF_mwlyWB2GoRMLprYYliSHU,2022-09-10,11.0,13.0,-34.0,,-14.0,4.0
706121,AU,Australia,Victoria,Greater Shepparton City,,,,ChIJF_mwlyWB2GoRMLprYYliSHU,2022-09-11,27.0,12.0,-19.0,,-16.0,
706122,AU,Australia,Victoria,Greater Shepparton City,,,,ChIJF_mwlyWB2GoRMLprYYliSHU,2022-09-12,0.0,4.0,-25.0,,19.0,0.0
706123,AU,Australia,Victoria,Greater Shepparton City,,,,ChIJF_mwlyWB2GoRMLprYYliSHU,2022-09-13,-4.0,2.0,-32.0,,11.0,1.0
706949,AU,Australia,Victoria,Hepburn Shire,,,,ChIJTTF5AlEs0WoRB5WEh9Zd9j0,2022-09-07,,,,,-9.0,
706950,AU,Australia,Victoria,Hepburn Shire,,,,ChIJTTF5AlEs0WoRB5WEh9Zd9j0,2022-09-08,,,,,-4.0,
706951,AU,Australia,Victoria,Hepburn Shire,,,,ChIJTTF5AlEs0WoRB5WEh9Zd9j0,2022-09-09,,,,,6.0,
706952,AU,Australia,Victoria,Hepburn Shire,,,,ChIJTTF5AlEs0WoRB5WEh9Zd9j0,2022-09-10,-13.0,,-30.0,,,
706953,AU,Australia,Victoria,Hepburn Shire,,,,ChIJTTF5AlEs0WoRB5WEh9Zd9j0,2022-09-11,-3.0,,,,,
706954,AU,Australia,Victoria,Hepburn Shire,,,,ChIJTTF5AlEs0WoRB5WEh9Zd9j0,2022-09-12,,,,,8.0,
706955,AU,Australia,Victoria,Hepburn Shire,,,,ChIJTTF5AlEs0WoRB5WEh9Zd9j0,2022-09-13,,,,,-6.0,
707748,AU,Australia,Victoria,Horsham Rural City,,,,ChIJxweEHk9nzmoR7gQrMhl86sI,2022-09-07,-5.0,7.0,,,3.0,
707749,AU,Australia,Victoria,Horsham Rural City,,,,ChIJxweEHk9nzmoR7gQrMhl86sI,2022-09-08,,,,,9.0,
707750,AU,Australia,Victoria,Horsham Rural City,,,,ChIJxweEHk9nzmoR7gQrMhl86sI,2022-09-09,5.0,21.0,,,9.0,
707751,AU,Australia,Victoria,Horsham Rural City,,,,ChIJxweEHk9nzmoR7gQrMhl86sI,2022-09-10,7.0,,,,-11.0,
707752,AU,Australia,Victoria,Horsham Rural City,,,,ChIJxweEHk9nzmoR7gQrMhl86sI,2022-09-12,,,,,14.0,
707753,AU,Australia,Victoria,Horsham Rural City,,,,ChIJxweEHk9nzmoR7gQrMhl86sI,2022-09-13,-9.0,3.0,,,8.0,
708419,AU,Australia,Victoria,Indigo Shire,,,,ChIJ3e2WHkhMIWsRdgbRs-b4Is4,2022-09-07,,,,,11.0,
708420,AU,Australia,Victoria,Indigo Shire,,,,ChIJ3e2WHkhMIWsRdgbRs-b4Is4,2022-09-08,,,,,16.0,
708421,AU,Australia,Victoria,Indigo Shire,,,,ChIJ3e2WHkhMIWsRdgbRs-b4Is4,2022-09-09,,,,,21.0,
708422,AU,Australia,Victoria,Indigo Shire,,,,ChIJ3e2WHkhMIWsRdgbRs-b4Is4,2022-09-12,,,,,22.0,
708423,AU,Australia,Victoria,Indigo Shire,,,,ChIJ3e2WHkhMIWsRdgbRs-b4Is4,2022-09-13,,,,,15.0,
709353,AU,Australia,Victoria,Latrobe City,,,,ChIJOTw1Lv0TKWsRuc78O2JcVNI,2022-09-07,-5.0,-11.0,-22.0,-20.0,1.0,1.0
709354,AU,Australia,Victoria,Latrobe City,,,,ChIJOTw1Lv0TKWsRuc78O2JcVNI,2022-09-08,-5.0,-10.0,,-35.0,-4.0,2.0
709355,AU,Australia,Victoria,Latrobe City,,,,ChIJOTw1Lv0TKWsRuc78O2JcVNI,2022-09-09,-1.0,-1.0,,-30.0,-1.0,2.0
709356,AU,Australia,Victoria,Latrobe City,,,,ChIJOTw1Lv0TKWsRuc78O2JcVNI,2022-09-10,1.0,-11.0,-34.0,-27.0,-20.0,3.0
709357,AU,Australia,Victoria,Latrobe City,,,,ChIJOTw1Lv0TKWsRuc78O2JcVNI,2022-09-11,1.0,-8.0,-22.0,-32.0,-26.0,2.0
709358,AU,Australia,Victoria,Latrobe City,,,,ChIJOTw1Lv0TKWsRuc78O2JcVNI,2022-09-12,-7.0,-6.0,,-26.0,0.0,2.0
709359,AU,Australia,Victoria,Latrobe City,,,,ChIJOTw1Lv0TKWsRuc78O2JcVNI,2022-09-13,-6.0,-4.0,-34.0,-21.0,0.0,1.0
710270,AU,Australia,Victoria,Macedon Ranges Shire,,,,ChIJ49kasq4E12oRr8wScMrDxnM,2022-09-07,34.0,-5.0,,-35.0,-8.0,6.0
710271,AU,Australia,Victoria,Macedon Ranges Shire,,,,ChIJ49kasq4E12oRr8wScMrDxnM,2022-09-08,18.0,-11.0,,-41.0,-10.0,7.0
710272,AU,Australia,Victoria,Macedon Ranges Shire,,,,ChIJ49kasq4E12oRr8wScMrDxnM,2022-09-09,29.0,-8.0,,-28.0,-5.0,5.0
710273,AU,Australia,Victoria,Macedon Ranges Shire,,,,ChIJ49kasq4E12oRr8wScMrDxnM,2022-09-10,28.0,-4.0,-42.0,,-15.0,
710274,AU,Australia,Victoria,Macedon Ranges Shire,,,,ChIJ49kasq4E12oRr8wScMrDxnM,2022-09-11,35.0,-18.0,-26.0,,-24.0,
710275,AU,Australia,Victoria,Macedon Ranges Shire,,,,ChIJ49kasq4E12oRr8wScMrDxnM,2022-09-12,29.0,-10.0,,-41.0,-4.0,6.0
710276,AU,Australia,Victoria,Macedon Ranges Shire,,,,ChIJ49kasq4E12oRr8wScMrDxnM,2022-09-13,24.0,-6.0,,-41.0,-11.0,7.0
711212,AU,Australia,Victoria,Maroondah City,,,,ChIJt73vIV461moR4mGb3EELBvo,2022-09-07,-12.0,0.0,-19.0,-29.0,-18.0,6.0
711213,AU,Australia,Victoria,Maroondah City,,,,ChIJt73vIV461moR4mGb3EELBvo,2022-09-08,-16.0,-1.0,-26.0,-19.0,-16.0,6.0
711214,AU,Australia,Victoria,Maroondah City,,,,ChIJt73vIV461moR4mGb3EELBvo,2022-09-09,-9.0,6.0,-4.0,-19.0,-18.0,6.0
711215,AU,Australia,Victoria,Maroondah City,,,,ChIJt73vIV461moR4mGb3EELBvo,2022-09-10,-7.0,8.0,-7.0,-14.0,-20.0,3.0
711216,AU,Australia,Victoria,Maroondah City,,,,ChIJt73vIV461moR4mGb3EELBvo,2022-09-11,-10.0,2.0,-3.0,-14.0,-31.0,2.0
711217,AU,Australia,Victoria,Maroondah City,,,,ChIJt73vIV461moR4mGb3EELBvo,2022-09-12,-17.0,3.0,-23.0,-28.0,-15.0,6.0
711218,AU,Australia,Victoria,Maroondah City,,,,ChIJt73vIV461moR4mGb3EELBvo,2022-09-13,-16.0,-3.0,-28.0,-27.0,-16.0,6.0
712154,AU,Australia,Victoria,Melton City,,,,ChIJAy6X3ojy1moREPMohCgh1GM,2022-09-07,11.0,34.0,-4.0,-18.0,11.0,3.0
712155,AU,Australia,Victoria,Melton City,,,,ChIJAy6X3ojy1moREPMohCgh1GM,2022-09-08,3.0,27.0,-34.0,-24.0,12.0,4.0
712156,AU,Australia,Victoria,Melton City,,,,ChIJAy6X3ojy1moREPMohCgh1GM,2022-09-09,12.0,41.0,16.0,-21.0,11.0,3.0
712157,AU,Australia,Victoria,Melton City,,,,ChIJAy6X3ojy1moREPMohCgh1GM,2022-09-10,15.0,38.0,-14.0,-11.0,13.0,2.0
712158,AU,Australia,Victoria,Melton City,,,,ChIJAy6X3ojy1moREPMohCgh1GM,2022-09-11,18.0,37.0,-22.0,-8.0,5.0,2.0
712159,AU,Australia,Victoria,Melton City,,,,ChIJAy6X3ojy1moREPMohCgh1GM,2022-09-12,9.0,40.0,-16.0,-20.0,13.0,4.0
